,player_name,player_profile_url,player_code
58,Bogdan Bogdanović,/players/b/bogdabo01.html,bogdabo01
59,Bojan Bogdanović,/players/b/bogdabo02.html,bogdabo02
60,Bol Bol,/players/b/bolbo01.html,bolbo01.h
61,Marques Bolden,/players/b/boldema01.html,boldema01
62,Leandro Bolmaro,/players/b/bolmale01.html,bolmale01
63,Jordan Bone,/players/b/bonejo01.html,bonejo01.
64,Devin Booker,/players/b/bookede01.html,bookede01
65,Brandon Boston Jr.,/players/b/bostobr01.html,bostobr01
66,Chris Boucher,/players/b/bouchch01.html,bouchch01
67,James Bouknight,/players/b/bouknja01.html,bouknja01
68,Jamaree Bouyea,/players/b/bouyeja01.html,bouyeja01
69,Ky Bowman,/players/b/bowmaky01.html,bowmaky01
70,Tony Bradley,/players/b/bradlto01.html,bradlto01
71,Malaki Branham,/players/b/branhma01.html,branhma01
72,Jarrell Brantley,/players/b/brantja01.html,brantja01
73,Christian Braun,/players/b/braunch01.html,braunch01
74,Ignas Brazdeikis,/players/b/brazdig01.html,brazdig01
75,Mikal Bridges,/players/b/bridgmi01.html,bridgmi01
76,Miles Bridges,/players/b/bridgmi02.html,bridgmi02
77,Oshae Brissett,/players/b/brissos01.html,brissos01
78,Malcolm Brogdon,/players/b/brogdma01.html,brogdma01
79,Armoni Brooks,/players/b/brookar01.html,brookar01
80,Dillon Brooks,/players/b/brookdi01.html,brookdi01
81,Bruce Brown,/players/b/brownbr01.html,brownbr01
82,Charlie Brown Jr.,/players/b/brownch02.html,brownch02
83,Chaundee Brown Jr.,/players/b/brownch05.html,brownch05
84,Greg Brown III,/players/b/browngr01.html,browngr01
85,Jaylen Brown,/players/b/brownja02.html,brownja02
86,Kendall Brown,/players/b/brownke03.html,brownke03
87,Moses Brown,/players/b/brownmo01.html,brownmo01
88,Sterling Brown,/players/b/brownst02.html,brownst02
89,Troy Brown Jr.,/players/b/browntr01.html,browntr01
90,Jalen Brunson,/players/b/brunsja01.html,brunsja01
91,Thomas Bryant,/players/b/bryanth01.html,bryanth01
92,Shaq Buchanan,/players/b/buchash01.html,buchash01
93,Reggie Bullock,/players/b/bullore01.html,bullore01
94,Trey Burke,/players/b/burketr01.html,burketr01
95,Alec Burks,/players/b/burksal01.html,burksal01
96,Deonte Burton,/players/b/burtode02.html,burtode02
97,Jared Butler,/players/b/butleja02.html,butleja02
98,Jimmy Butler,/players/b/butleji01.html,butleji01
99,John Butler,/players/b/butlejo01.html,butlejo01
